proof,name,type
,False,work
,False,others
,False,work
,False,lotto
,False,work
,False,lotto
,False,lotto
,False,fake news
,False,lotto
,False,lotto
,False,others
,False,others
,False,work
,False,work
,False,raffle
,False,lotto
,False,fake news
,False,loan/bank
,False,lotto
,False,lotto
,False,lotto
,False,lotto
,False,work
,False,work
,False,lotto
,False,lotto
,False,lotto
,False,lotto
,False,work
,False,lotto
,False,loan/bank
,False,lotto
,False,lotto
,False,lotto
,False,lotto
,False,lotto
,False,lotto
,False,work
,False,lotto
,False,lotto
,False,work
,False,lotto
,False,work
,False,online games
,False,online shopping
,False,online games
,False,unclaimed bonus
,False,online games
,False,work
,False,work
,False,online games
,False,fake news
,False,online games
,False,loan/bank
,False,online games
,False,others
,False,lotto
,False,lotto
,False,work
,False,work
,False,lotto
,False,lotto
,False,work
,False,lotto
,False,work
,False,lotto
,False,lotto
,False,work
,False,work
,False,work
,False,lotto
,False,lotto
,False,work
,False,online games
,False,online games
,False,loan/bank
,False,online games
,False,online games
,False,online games
,False,unclaimed bonus
,False,unclaimed bonus
,False,online games
,False,work
,False,online games
,False,online games
,False,work
,False,unclaimed bonus
,False,online games
,False,not specified
,False,online games
,False,email
,False,unclaimed bonus
,False,work
,False,unclaimed bonus
,False,unclaimed bonus
,False,unclaimed bonus
,False,lotto
,False,lotto
,False,work
,False,online games
,False,online games
,False,unclaimed bonus
,False,unclaimed bonus
,False,work
,False,online games
,False,online games
,False,unclaimed bonus
,False,unclaimed bonus
,False,loan/bank
,False,work
,False,lotto
,False,lotto
,False,work
,False,online games
,False,online games
,False,lotto
,False,platform
,False,online games
,False,online games
,False,unclaimed bonus
,False,online games
,False,email
,False,email
,False,email
,False,work
,False,online games
,False,platform
,False,online games
,False,online games
,False,platform
,False,not specified
,False,online games
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,loan/bank
,False,online shopping
,False,work
,False,loan/bank
,False,work
,False,work
,False,platform
,False,online shopping
,False,work
,False,lotto
,False,lotto
,False,work
,False,work
,False,work
,False,others
,False,others
,False,unclaimed bonus
,False,lotto
,False,not specified
,False,not specified
,False,not specified
,False,not specified
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,unclaimed bonus
,False,unclaimed bonus
,False,lotto
,False,work
,False,not specified
,False,loan/bank
,False,loan/bank
,False,work
,False,lotto
,False,passive income
,False,online games
,False,online shopping
,False,online games
,False,online games
,False,loan/bank
,False,lotto
,False,not specified
,False,online games
,False,online shopping
,False,unclaimed bonus
,False,online games
,False,online games
,False,online shopping
,False,online shopping
,False,loan/bank
,False,online shopping
,False,online games
,False,loan/bank
,False,online games
,False,unclaimed bonus
,False,online games
,False,loan/bank
,False,not specified
,False,casino/gambling
,False,loan/bank
,False,others
,False,others
,False,loan/bank
,False,unclaimed bonus
,False,online games
,False,lotto
,False,online shopping
,False,online shopping
,False,online games
,False,others
,False,not specified
,False,online games
,False,online shopping
,False,claiming
,False,online games
,False,not specified
,False,not specified
,False,loan/bank
,False,unclaimed bonus
,False,loan/bank
,False,loan/bank
,False,unclaimed bonus
,False,work
,False,unclaimed bonus
,False,online shopping
,False,work
,False,platform
,False,online shopping
,False,unclaimed bonus
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,unclaimed bonus
,False,passive income
,False,online games
,False,not specified
,False,globe
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,passive income
,False,passive income
,False,casino/gambling
,False,others
,False,unclaimed bonus
,False,casino/gambling
,False,email
,False,unclaimed bonus
,False,unclaimed bonus
,False,unclaimed bonus
,False,loan/bank
,False,unclaimed bonus
,False,globe
,False,online games
,False,rewards
,False,loan/bank
,False,unclaimed bonus
,False,work
,False,others
,False,work
,False,loan/bank
,False,unclaimed bonus
,False,loan/bank
,False,work
,False,not specified
,False,online games
,False,online games
,False,online games
,False,online games
,False,not specified
,False,not specified
,False,lotto
,False,unclaimed bonus
,False,unclaimed bonus
,False,unclaimed bonus
,False,lotto
,False,passive income
,False,online games
,False,online shopping
,False,online shopping
,False,work
,False,fake news
,False,online games
,False,casino/gambling
,False,lotto
,False,online games
,False,online games
,False,unclaimed bonus
,False,others
,False,online games
,False,casino/gambling
,False,others
,False,money
,False,email
,False,work
,False,email
,False,passive income
,False,work
,False,unclaimed bonus
,False,online games
,False,unclaimed bonus
,False,others
,False,raffle
,False,raffle
,False,casino/gambling
,False,lotto
,False,unclaimed bonus
,False,online shopping
,False,email
,False,email
,False,unclaimed bonus
,False,online games
,False,lotto
,False,work
,False,lotto
,False,online games
,False,not specified
,False,others
,False,lotto
,False,not specified
,False,raffle
,False,not specified
,False,email
,False,platform
,False,online shopping
,False,not specified
,False,casino/gambling
,False,casino/gambling
,False,online games
,False,platform
,False,passive income
,False,platform
,False,passive income
,False,loan/bank
,False,online shopping
,False,platform
,False,loan/bank
,False,platform
,False,platform
,False,loan/bank
,False,loan/bank
,False,not specified
,False,casino/gambling
,False,casino/gambling
,False,not specified
,False,online games
,False,loan/bank
,False,not specified
,False,unclaimed bonus
,False,casino/gambling
,False,online shopping
,False,not specified
,False,casino/gambling
,False,not specified
,False,others
,False,casino/gambling
,False,casino/gambling
,False,others
,False,passive income
,False,not specified
,False,loan/bank
,False,online games
,False,unclaimed bonus
,False,platform
,False,passive income
,False,raffle
,False,loan/bank
,False,work
,False,lotto
,False,work
,False,others
,False,online games
,False,work
,False,platform
,False,lotto
,False,loan/bank
,False,raffle
,False,raffle
,False,platform
,False,platform
,False,platform
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,unclaimed bonus
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,work
,False,work
,False,raffle
,False,casino/gambling
,False,casino/gambling
,False,online games
,False,email
,False,email
,False,unclaimed bonus
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,unclaimed bonus
,False,others
,False,unclaimed bonus
,False,raffle
,False,casino/gambling
,False,work
,False,casino/gambling
,False,loan/bank
,False,others
,False,work
,False,raffle
,False,online games
,False,work
,False,casino/gambling
,False,casino/gambling
,False,not specified
,False,loan/bank
,False,raffle
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,raffle
,False,raffle
,False,raffle
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,email
,False,loan/bank
,False,loan/bank
,False,online shopping
,False,email
,False,online shopping
,False,online games
,False,unclaimed bonus
,False,online games
,False,raffle
,False,raffle
,False,raffle
,False,work
,False,not specified
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,online shopping
,False,casino/gambling
,False,others
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,not specified
,False,not specified
,False,work
,False,work
,False,online shopping
,False,work
,False,work
,False,work
,False,work
,False,casino/gambling
,False,casino/gambling
,False,money
,False,not specified
,False,casino/gambling
,False,others
,False,others
,False,passive income
,False,raffle
,False,fake news
,False,loan/bank
,False,work
,False,raffle
,False,work
,False,passive income
,False,loan/bank
,False,work
,False,work
,False,online shopping
,False,online shopping
,False,work
,False,casino/gambling
,False,casino/gambling
,False,others
,False,others
,False,casino/gambling
,False,unclaimed bonus
,False,others
,False,unclaimed bonus
,False,work
,False,work
,False,work
,False,loan/bank
,False,passive income
,False,work
,False,work
,False,raffle
,False,work
,False,work
,False,raffle
,False,raffle
,False,work
,False,others
,False,work
,False,work
,False,work
,False,work
,False,not specified
,False,not specified
,False,platform
,False,others
,False,netflix
,False,casino/gambling
,False,casino/gambling
,False,raffle
,False,unclaimed bonus
,False,loan/bank
,False,platform
,False,platform
,False,not specified
,False,not specified
,False,casino/gambling
,False,platform
,False,not specified
,False,not specified
,False,raffle
,False,platform
,False,unclaimed bonus
,False,loan/bank
,False,loan/bank
,False,casino/gambling
,False,loan/bank
,False,raffle
,False,not specified
,False,products
,False,casino/gambling
,False,casino/gambling
,False,work
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,raffle
,False,not specified
,False,email
,False,raffle
,False,email
,False,platform
,False,money
,False,unclaimed bonus
,False,email
,False,money
,False,email
,False,unclaimed bonus
,False,raffle
,False,online shopping
,False,raffle
,False,online shopping
,False,raffle
,False,not specified
,False,casino/gambling
,False,email
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,loan/bank
,False,money
,False,email
,False,platform
,False,casino/gambling
,False,products
,False,casino/gambling
,False,casino/gambling
,False,products
,False,others
,False,loan/bank
,False,platform
,False,passive income
,False,money
,False,casino/gambling
,False,money
,False,casino/gambling
,False,products
,False,casino/gambling
,False,others
,False,money
,False,casino/gambling
,False,netflix
,False,casino/gambling
,False,casino/gambling
,False,deposit scam
,False,raffle
,False,products
,False,political
,False,others
,False,others
,False,loan/bank
,False,not specified
,False,products
,False,not specified
,False,gcash
,False,political
,False,products
,False,casino/gambling
,False,work
,False,casino/gambling
,False,deposit scam
,False,online shopping
,False,casino/gambling
,False,products
,False,others
,False,products
,False,casino/gambling
,False,loan/bank
,False,casino/gambling
,False,others
,False,online games
,False,others
,False,not specified
,False,platform
,False,online games
,False,unclaimed bonus
,False,not specified
,False,online games
,False,casino/gambling
,False,not specified
,False,not specified
,False,others
,False,products
,False,unclaimed bonus
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,loan/bank
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,casino/gambling
,False,online games
,False,online games
,False,unclaimed bonus
,False,casino/gambling
,False,unclaimed bonus
,False,others
,False,not specified
,False,casino/gambling
,False,not specified
,False,products
,False,online shopping
,False,money
,False,loan/bank
,False,online shopping
,False,online shopping
,False,work
,False,gcash
,False,online shopping
,False,products
,False,casino/gambling
,False,others
,False,online shopping
,False,casino/gambling
,False,unclaimed bonus
,False,products
,False,work
,False,casino/gambling
,False,email
,False,political
,False,products
,False,loan/bank
,False,not specified
,False,loan/bank
,False,loan/bank
,False,not specified
,False,products
,False,not specified
,False,online games
,False,casino/gambling
,False,online games
,False,casino/gambling
,False,online games
,False,online games
,False,raffle/play
,False,online shopping
,False,raffle
,False,casino/gambling
,False,products
,False,money
,False,lotto
,False,lotto
,False,others
,False,loan/bank
,False,online games
,False,loan/bank
,False,casino/gambling
,False,online shopping
,False,casino/gambling
,False,not specified
,False,work
,False,loan/bank
,False,raffle
,False,work
,False,online games
,False,fake news
,False,others
,False,work
,False,work
,False,work
,False,online games
POEA,False,others
POEA,False,others
,False,online shopping
,False,online shopping
,False,online shopping
,False,work
,False,online shopping
,False,work
,False,products
,False,work
,False,work
Federal Partylist,False,political
Build Build Build ,False,political
,False,products
,False,work
,False,raffle
,False,raffle
,False,casino/gambling
,False,raffle
,False,raffle
,False,raffle
,False,netflix
,False,others
,False,passive income
,False,passive income
,False,work
,False,unclaimed bonus
,False,not specified
luckyphil.com/login,False,lotto
,False,not specified
http://t6m681.com,False,lotto
,False,online shopping
http://fdsv01.site,False,not specified
,False,loan/bank
,False,casino/gambling
,False,others
,False,online shopping
,False,online games
,False,not specified
,False,work
,False,work
,False,raffle
,False,casino/gambling
,False,online games
,False,online games
,False,globe
,False,casino/gambling
,False,online shopping
,False,fake news
luckyphil.com/login,False,raffle
wplus4you.com/IBIG3Y,False,deposit scam
,False,casino/gambling
