proof,name,type,token
poea,False,others,['POEA']
poea,False,others,['POEA']
federal partylist,False,others,"['Federal', 'Partylist']"
build build build,False,others,"['Build', 'Build', 'Build']"
luckyphilcomlogin,False,casino/gambling,['luckyphilcomlogin']
httpt6m681com,False,casino/gambling,['httpt6m681com']
httpfdsv01site,False,others,['httpfdsv01site']
luckyphilcomlogin,False,casino/gambling,['luckyphilcomlogin']
wplus4youcomibig3y,False,bank/money,['wplus4youcomIBIG3Y']
wplus4youcomibig3y,False,bank/money,['wplus4youcomIBIG3Y']
httpsupergamingguestt2d,False,casino/gambling,['httpsupergamingguestT2D']
and solar lights,False,bank/money,"['AND', 'SOLAR', 'LIGHTS']"
http1swgkxcom,False,casino/gambling,['http1swgkxcom']
httpgaming63shop7iu,False,casino/gambling,['httpgaming63shop7iu']
httplfhh5xcom,False,casino/gambling,['httplfhh5xcom']
wplusb3t4youcomp2n2ngsw3rt3,False,online activity,['wplusb3t4youcomP2n2NgSw3rt3']
httpttink0kgri,False,online activity,['httpttink0kGri']
httpsthxfxphcomynoko,False,online activity,['httpsthxfxphcomYNOko']
,False,online activity,[]
,False,casino/gambling,[]
,False,bank/money,[]
,False,online activity,[]
,False,online activity,[]
,False,online activity,[]
,False,casino/gambling,[]
,False,casino/gambling,[]
bitlybingoplusphapp,False,casino/gambling,['bitlyBingoplusPHAPP']
text,False,work,['Text']
text,False,bank/money,['text']
chinese,False,others,['Chinese']
mrjohnmastinternationalgmailcom,False,online activity,['mrjohnmastinternationalgmailcom']
egamesphcomlogin,False,casino/gambling,['egamesphcomlogin']
httpstlygcashcom,False,bank/money,['httpstlygcashcom']
wplus4youcomibig3y,False,bank/money,['wplus4youcomIBIG3Y']
httpsgamings63picstbo,False,casino/gambling,['httpsgamings63picstBO']
onlinebetphlivedealer,False,bank/money,['onlinebetphLiveDealer']
mrbrettflanagan72gmailcom,False,online activity,['mrbrettflanagan72gmailcom']
http2xnvtecom,False,bank/money,['http2xnvtecom']
http5irpkseocom,False,bank/money,['http5irpkseocom']
egamesphcomlogin,False,bank/money,['egamesphcomlogin']
httpfdsv03site,False,bank/money,['httpfdsv03site']
httpfdsv05site,False,online activity,['httpfdsv05site']
httpsthxfxphcommrgg0,False,online activity,['httpsthxfxphcomMRGG0']
httpsfdsv02site,False,online activity,['httpsfdsv02site']
gregr1914gmailcom,False,bank/money,['gregr1914gmailcom']
httpstcofrrspixhzr,False,bank/money,['httpstcoFRrSPIxHzR']
legit message robocash,False,casino/gambling,"['Legit', 'message', 'Robocash']"
httpfdsv01site,False,online activity,['httpfdsv01site']
httpsbitly8laoyata,False,bank/money,['httpsbitly8LaoyaTa']
egamesphlogin,False,bank/money,['egamesphlogin']
citlymeczp87,False,online activity,['citlymeCzP87']
citlymeczp87,False,casino/gambling,['citlymeCzP87']
httpabgamingartirw,False,,['httpabgamingartIRW']
httpscuttlyaznsurp,False,casino/gambling,['httpscuttlyaZNsuRp']
httpsbitly3ahqcjr,False,casino/gambling,['httpsbitly3AhQCjR']
http09770263928sitebzes1j,False,,['http09770263928sitebzeS1J']
httpsbitly3byyquq,False,online activity,['httpsbitly3byYquQ']
httpsthxfxphcomyp1wl,False,online activity,['httpsthxfxphcomYP1WL']
httpslinnkiinefwpizpqu,False,casino/gambling,['httpslinnkiinEFwpizPQu']
httpfdsv14online,False,bank/money,['httpfdsv14online']
cuttlybingoplusph,False,online activity,['cuttlyBingoplusPH']
httpaq63xicom,False,online activity,['httpaq63xicom']
httpsdrivegooglecomfiled1ewhrymyckcnw0fs_kg_lzjxolypxupqyviewuspsharing,False,online activity,['httpsdrivegooglecomfiled1ewHrYmyCKcnw0FS_Kg_lZJxolyPxupqyviewuspsharing']
rainerhillebrn22outlookcom,False,free,['rainerhillebrn22outlookcom']
rst4406gmailcom,False,casino/gambling,['rst4406gmailcom']
http5irpkseocom,False,others,['http5irpkseocom']
tlyst777vip,False,others,['tlyst777vip']
gcxvd2nycom,False,others,['gcxvd2nycom']
wplus4youcomibig3y,False,others,['wplus4youcomIBIG3Y']
httpqldpmgcom,False,casino/gambling,['httpqldpmgcom']
httpfdsv11info,False,bank/money,['httpfdsv11info']
httptaccmp5hcom,False,bank/money,['httptaccmp5hcom']
httpaq63xicom,False,bank/money,['httpaq63xicom']
httpfdsv12info,False,bank/money,['httpfdsv12info']
bitlylazadafreeshipping,False,online activity,['bitlyLAZADAFREESHIPPING']
httpsslazadacomphsurr50,False,online activity,['httpsslazadacomphsUrR50']
